Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
Hotel Park Airport Zone,Shamshabad,3.9,299.0,2633,690,8.4 km drive to Rajiv Gandhi International Airport,True,False,3323
Sheraton Hyderabad,Gachibowli,4.3,870.0,34750,6255,"1.1 km drive to US Consulate, Hyderabad",True,False,41005
Hotel Consulate,Gachibowli,4.0,23.0,3057,725,Not provided,True,False,3782
Hotel Shubham Palace Narsinghi,Narsingi,4.2,53.0,3235,717,Not provided,True,False,3952
Casa Grand Inn,Gachibowli,3.5,59.0,2079,448,"1.1 km drive to US Consulate, Hyderabad",True,False,2527
HOTEL SITARA GRAND LB NAGAR,LB Nagar,3.4,569.0,2338,624,Not provided,False,False,2962
Hotel Lotus Grand,Yella Reddy Guda,3.7,105.0,1844,483,Not provided,True,False,2327
Hotel Key Suites Gachibowli,Gachibowli,4.0,37.0,1832,518,Not provided,True,False,2350
Istay Hotels Hitec,Kondapur,3.7,1461.0,2806,771,Not provided,True,False,3577
Hotel Urban Sleep Airport Zone,Shamshabad,4.3,83.0,1262,280,Not provided,True,False,1542
Jubilee Festa Inn,Jubilee Hills,3.7,15.0,2825,704,Not provided,True,False,3529
FabHotel A&M,Banjara Hills,3.7,120.0,2262,623,Not provided,True,False,2885
ATLAS STAYS,Kukatpally,3.9,136.0,1448,438,Not provided,True,False,1886
Hotel Sybaritic Suites,Gachibowli,3.7,612.0,2397,675,Not provided,True,False,3072
Hotel Tara (Ramoji Film City),Anajpur,4.1,1022.0,5771,1314,8 minutes walk to Ramoji Filmcity,True,False,7085
Hampshire Plaza Hotel,Lakdikapul,3.8,1933.0,4486,1159,1.5 km drive to Hussain Sagar Lake,True,False,5645
Mango Suites Viera,Jubilee Hills,3.9,575.0,2304,642,Not provided,True,False,2946
Hotel Shantiniketan (Ramoji Film City),Anajpur,4.1,285.0,5692,1263,9 minutes walk to Ramoji Filmcity,True,False,6955
"Taj Falaknuma Palace, Hyderabad",Falaknuma,4.8,400.0,50000,9000,Not provided,True,False,59000
Trance Babylon Executive Stays,Kondapur,3.9,309.0,2281,512,Not provided,True,False,2793
Manohar Grand,Kukatpally Housing Board Colony,3.9,149.0,1452,362,1.8 km drive to Miyapur Metro Station,True,False,1814
Ohris Baseraa Inn,Basheer Bagh,3.7,130.0,1669,463,6 minutes walk to Hussain Sagar Lake,True,False,2132
Minerva Grand - Banjara,Banjara Hills,4.0,1672.0,5208,1064,Not provided,True,False,6272
Super Townhouse CASA GRAND,Punjagutta,3.7,93.0,1892,369,2.9 km drive to Hussain Sagar Lake,True,False,2261
